"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_18299",0,1,0,0,0,0,2,4,2,0,0,2,0,1,0,1,0,0,0,0,1,0
"Bger_18302",101,36,45,85,16,26,27,23,23,4,37,11,9,13,5,7,2,4,3,3,4,2
"Bger_18303",45,6,0,4,2,2,1,2,32,12,338,116,49,44,4,16,2,7,42,40,27,18
"Bger_18304",2,1,0,0,0,0,1,1,2,5,17,19,13,15,5,1,0,1,19,19,5,12
"Bger_18305",5,1,0,0,0,0,0,0,2,5,15,9,10,4,1,2,0,0,15,5,5,5
"Bger_18306",7,2,0,5,1,0,4,2,6,9,24,20,11,12,4,3,1,2,14,15,8,12
"Bger_18307",1,0,1,0,0,0,1,3,3,1,2,2,0,0,0,0,0,0,2,3,1,1
"Bger_18308",29,20,4,18,1,5,10,13,11,8,28,18,5,11,9,8,2,8,90,119,8,8
"Bger_18309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_27937",1,0,0,0,0,0,1,1,11,4,14,11,0,1,4,0,0,1,0,0,0,0
"Bger_24476",104,138,76,152,26,98,0,16,0,0,0,0,0,0,0,0,2,5,2,3,0,2
"Bger_24478",3,0,0,0,0,1,2,0,1,0,15,1,4,3,2,1,1,0,1,0,0,0
"Bger_24477",507,597,279,629,78,221,333,272,142,66,163,87,45,46,45,63,18,41,33,23,34,24
"Bger_24475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_24479",502,370,211,561,145,422,243,250,187,92,249,166,101,83,81,131,45,88,60,62,46,34
"Bger_24480",47,87,11,67,2,51,0,6,8,37,31,40,32,15,14,17,7,13,11,6,10,3
"Bger_10134",1,1,1,1,0,2,0,1,3,3,14,5,1,2,2,1,0,2,0,1,1,0
"Bger_10135",14,14,2,6,0,5,0,1,0,0,13,5,1,1,0,1,2,0,0,1,0,1
"Bger_10136",10337,8143,2527,6045,960,2789,2214,1888,24228,15337,29639,25981,12662,14770,8201,8627,4812,12896,9570,7800,15638,11132
"Bger_10138",1364,1025,843,1043,162,401,279,281,242,77,252,91,104,55,93,106,32,89,68,48,88,62
"Bger_10139",545,571,517,889,112,382,2,87,82,46,142,76,19,17,22,13,18,22,22,17,14,14
"Bger_10137",2607,2833,438,1876,220,831,594,593,8073,5068,8944,7096,4305,4640,2773,2859,1717,4497,3420,2932,5576,3751
"Bger_10141",287,126,8,195,4,225,93,305,370,131,324,158,41,57,28,74,10,61,19,17,40,71
"Bger_10140",33,69,25,88,6,25,1,7,3,1,3,9,2,1,3,1,2,2,2,5,1,1
"Bger_10143",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Bger_10142",4,4,0,3,1,1,1,1,2,2,5,1,3,2,2,2,2,2,1,1,4,2
"Bger_10144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_10145",0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,2
"Bger_10146",0,2,0,2,1,2,0,1,422,266,16,13,4,6,1,3,7,34,3,1,1,2
"Bger_10147",6,8,3,8,0,7,1,9,30,20,20,14,7,5,2,5,2,7,5,6,19,5
"Bger_10150",503,277,334,495,94,376,14,67,120,56,158,56,24,11,52,59,21,51,38,27,52,31
"Bger_10149",74,103,26,138,11,65,88,156,38,42,81,92,32,26,18,32,1,26,14,15,26,21
"Bger_10152",2,0,0,0,7,2,13,17,1,0,9,16,2,0,6,7,4,1,2,2,2,1
"Bger_10148",4,5,1,2,0,5,0,0,9,9,27,10,0,2,0,0,0,0,0,0,0,0
"Bger_10151",444,279,201,366,114,199,743,569,467,272,740,370,566,346,489,706,142,512,231,230,651,400
"Bger_10153",12,7,0,0,1,0,3,3,4,4,5,3,6,2,4,10,3,4,11,5,2,1
"Bger_10154",81,135,11,85,10,108,24,89,40,88,146,166,157,107,181,144,125,136,172,126,124,103
"Bger_10156",1,1,0,0,0,0,6,0,3,0,3,1,0,1,0,0,0,1,0,2,0,0
"Bger_10155",61,122,8,78,9,97,17,77,28,67,112,146,128,78,141,123,103,106,135,100,102,80
"Bger_27902",17,6,1,1,1,5,4,4,6,3,13,5,2,3,1,2,0,4,1,2,2,0
"Bger_27682",12,9,0,1,5,6,45,47,36,22,113,85,25,9,8,15,6,17,12,14,13,12
"Bger_27681",1,0,0,0,0,0,0,0,0,0,6,0,10,4,7,2,2,2,2,1,1,0
"Bger_00650",7,5,0,4,7,2,40,38,14,2,9,7,7,4,2,6,2,1,6,5,3,1
"Bger_00654",431,523,279,591,69,274,151,178,90,27,47,28,48,37,20,42,30,38,35,30,38,24
